,publisher_id,publisher_name,publication_date,book_id
0,1,10/18,2001-02-15,6904
1,1,10/18,1998-11-18,7329
2,2,1St Book Library,2003-01-14,8093
3,3,Aa World Services,2002-02-10,926
4,4,Abacus,1997-03-03,2069
5,4,Abacus,2005-01-20,8768
6,4,Abacus,2004-02-05,8656
7,4,Abacus,1989-02-01,1756
8,4,Abacus,1995-11-12,10583
9,4,Abacus,2000-04-01,1897
10,5,Abstract Studio,2005-12-14,4359
11,6,Academy Chicago,2005-08-30,6297
12,7,Ace,1987-06-15,10123
13,7,Ace,2005-10-04,10219
14,7,Ace,2003-01-28,5093
15,7,Ace,2007-08-07,5764
16,7,Ace,1989-12-01,5636
17,7,Ace,1988-04-01,5635
18,7,Ace,2006-11-07,5491
19,7,Ace,2007-01-02,5493
20,7,Ace,2007-03-06,5492
21,7,Ace,1985-02-01,10224
22,7,Ace,2006-08-01,5765
23,7,Ace,2013-06-04,10609
24,7,Ace,2006-06-06,5494
25,7,Ace,2001-11-01,5768
26,7,Ace,1998-10-01,5769
27,7,Ace,2006-03-07,5899
28,7,Ace,2006-11-01,7736
29,7,Ace,1987-07-15,7785
30,7,Ace,1993-12-01,9030
31,7,Ace,2001-05-01,9036
32,7,Ace,1997-09-15,9616
33,7,Ace,2007-03-27,9679
34,7,Ace,2004-03-02,9999
35,7,Ace,1995-04-24,10006
36,7,Ace,1981-11-01,10116
37,7,Ace,1995-12-01,7404
38,7,Ace,2007-05-10,7117
39,7,Ace,2006-09-26,7008
40,7,Ace,2006-07-25,7005
41,7,Ace,2005-12-06,6599
42,7,Ace,2001-12-31,6598
43,7,Ace,1989-09-01,6517
44,7,Ace,1987-06-15,10686
45,7,Ace,1991-08-01,10120
46,7,Ace,2005-09-27,6225
47,7,Ace,2002-07-30,5092
48,7,Ace,2005-06-28,7637
49,7,Ace,1987-07-15,4295
50,7,Ace,2004-11-02,4134
51,7,Ace,2003-10-28,3819
52,7,Ace,2003-09-30,3818
53,7,Ace,2005-08-01,3817
54,7,Ace,1998-12-01,2261
55,7,Ace,2005-05-01,2259
56,7,Ace,1996-09-01,1607
57,7,Ace,2006-10-31,1568
58,7,Ace,2005-02-19,1159
59,7,Ace,1995-04-15,540
60,7,Ace,1988-06-01,154
61,7,Ace,1991-10-01,153
62,7,Ace,1987-08-15,72
63,7,Ace,1987-07-15,68
64,7,Ace,1987-07-01,67
65,7,Ace,1987-06-15,66
66,7,Ace,2006-07-30,10837
67,7,Ace,1987-04-15,4306
68,7,Ace,1987-03-01,4305
69,7,Ace,2006-12-05,7635
70,7,Ace,1997-08-01,4790
71,7,Ace,2006-07-01,4944
72,7,Ace,1990-01-01,4307
73,7,Ace,1988-06-01,4642
74,7,Ace,2006-06-27,4945
75,7,Ace,2004-12-28,4640
76,7,Ace,1987-05-15,4788
77,7,Ace,1993-02-01,4634
78,7,Ace,1991-02-01,4632
79,7,Ace,1986-03-01,4597
80,7,Ace,1992-12-01,4312
81,7,Ace,1994-01-01,4311
82,7,Ace,2002-07-02,5091
83,7,Ace,1993-05-01,4308
84,7,Ace,1990-03-01,4633
85,7,Ace,2006-06-27,4789
86,8,Actes Sud,2002-11-07,202
87,8,Actes Sud,1993-08-10,3216
88,9,Addison Wesley,2007-03-01,6986
89,10,Addison-Wesley Professional,1999-10-30,1206
90,10,Addison-Wesley Professional,1997-09-27,7264
91,10,Addison-Wesley Professional,1999-07-08,10966
92,10,Addison-Wesley Professional,1995-08-12,3801
93,11,Adv Manga,2004-10-12,3970
94,11,Adv Manga,2005-01-18,3969
95,11,Adv Manga,2004-07-06,6090
96,11,Adv Manga,2005-03-01,3831
97,11,Adv Manga,2006-06-06,3829
98,11,Adv Manga,2005-06-14,3832
99,11,Adv Manga,2004-02-17,10730
100,11,Adv Manga,2003-12-29,6022
101,11,Adv Manga,2006-03-21,3830
102,11,Adv Manga,2004-08-24,3971
103,12,Aegypan,2006-10-01,8549
104,13,Aha! Process,2006-02-09,1294
105,14,Ait Planet Lar,2005-01-18,9284
106,15,Aladdin,1999-06-01,7246
107,15,Aladdin,2003-04-01,7431
108,15,Aladdin,2004-07-01,6931
109,15,Aladdin,2006-12-26,4851
110,15,Aladdin,2001-07-01,893
111,15,Aladdin,2006-06-01,2212
112,15,Aladdin,2004-10-01,8585
113,15,Aladdin,1995-11-01,3444
114,15,Aladdin,1995-06-01,8731
115,15,Aladdin,2004-07-01,8834
116,15,Aladdin,2012-03-21,8835
117,15,Aladdin,1999-09-01,9178
118,15,Aladdin,1989-10-01,9179
119,15,Aladdin,1992-10-31,9343
120,15,Aladdin,1999-10-01,9489
121,15,Aladdin,2003-02-01,9490
122,15,Aladdin,2004-07-01,9957
123,15,Aladdin,2003-12-01,3882
124,15,Aladdin,1998-09-01,10225
125,16,Albert Whitman Company,2003-01-01,2570
126,16,Albert Whitman Company,2000-01-01,2408
127,17,Albin Michel,2002-11-01,2400
128,17,Albin Michel,1994-10-01,3136
129,17,Albin Michel,2002-03-01,3152
130,17,Albin Michel,2000-03-01,10570
131,17,Albin Michel,2001-06-13,1247
132,18,Alcoholics Anonymous World Services,1993-08-01,925
133,19,Alderac Entertainment Group,2003-04-01,6430
134,19,Alderac Entertainment Group,2005-06-06,6856
135,20,Alfabeta Bokförlag,1999-09-01,8029
136,21,Alfaguara,2004-03-01,6809
137,21,Alfaguara,2005-11-10,2996
138,21,Alfaguara,2006-07-01,2316
139,21,Alfaguara,2006-10-01,3199
140,21,Alfaguara,2005-12-01,780
141,22,Alfaguara Infantil,2000-06-01,11106
142,23,Alfred A. Knopf,2006-09-19,5874
143,23,Alfred A. Knopf,1993-10-26,6107
144,23,Alfred A. Knopf,2005-07-12,6169
145,23,Alfred A. Knopf,2005-05-10,6170
146,23,Alfred A. Knopf,2006-05-23,6767
147,23,Alfred A. Knopf,1988-05-12,6881
148,23,Alfred A. Knopf,1992-04-21,7757
149,23,Alfred A. Knopf,2002-09-10,1886
150,23,Alfred A. Knopf,1978-07-12,1962
151,23,Alfred A. Knopf,1996-09-03,7758
152,23,Alfred A. Knopf,2018-07-15,8072
153,23,Alfred A. Knopf,2003-04-29,7046
154,23,Alfred A. Knopf,1972-12-31,5871
155,23,Alfred A. Knopf,2006-05-09,5271
156,23,Alfred A. Knopf,2006-03-14,5273
157,23,Alfred A. Knopf,1999-02-01,8510
158,23,Alfred A. Knopf,1995-02-21,137
159,23,Alfred A. Knopf,2011-06-14,139
160,23,Alfred A. Knopf,2006-05-02,250
161,23,Alfred A. Knopf,1994-10-18,489
162,23,Alfred A. Knopf,2004-08-10,573
163,23,Alfred A. Knopf,1950-06-27,783
164,23,Alfred A. Knopf,2006-08-30,826
165,23,Alfred A. Knopf,2003-03-31,5216
166,23,Alfred A. Knopf,2006-10-31,1032
167,23,Alfred A. Knopf,2005-12-07,1077
168,23,Alfred A. Knopf,2002-12-17,5302
169,23,Alfred A. Knopf,2006-11-07,2670
170,23,Alfred A. Knopf,2007-01-16,9845
171,23,Alfred A. Knopf,1994-04-16,8611
172,23,Alfred A. Knopf,2007-01-16,5204
173,23,Alfred A. Knopf,2006-09-12,5174
174,23,Alfred A. Knopf,1994-05-10,5049
175,23,Alfred A. Knopf,2006-08-22,4636
176,23,Alfred A. Knopf,1998-10-27,4427
177,23,Alfred A. Knopf,1966-05-01,4370
178,23,Alfred A. Knopf,2004-10-28,4022
179,23,Alfred A. Knopf,2007-01-23,3902
180,23,Alfred A. Knopf,1990-05-05,3692
181,23,Alfred A. Knopf,2005-09-13,3607
182,23,Alfred A. Knopf,2006-11-14,3601
183,23,Alfred A. Knopf,2006-10-24,3389
184,23,Alfred A. Knopf,2006-08-29,2678
185,23,Alfred A. Knopf,2007-04-10,11086
186,23,Alfred A. Knopf,2007-09-01,11083
187,23,Alfred A. Knopf,2001-04-24,11048
188,23,Alfred A. Knopf,2002-08-13,11046
189,23,Alfred A. Knopf,2006-10-17,3342
190,23,Alfred A. Knopf,2006-06-06,3184
191,23,Alfred A. Knopf,1997-10-21,11045
192,23,Alfred A. Knopf,1992-04-21,3124
193,23,Alfred A. Knopf,1992-04-07,3079
194,23,Alfred A. Knopf,2006-08-22,11004
195,23,Alfred A. Knopf,2006-05-09,9985
196,23,Alfred A. Knopf,2005-10-25,9978
197,23,Alfred A. Knopf,2006-09-26,1783
198,23,Alfred A. Knopf,2007-09-01,11084
199,23,Alfred A. Knopf,2006-10-17,1796
200,24,Alianza Editorial,2005-09-19,7236
201,25,Allen & Ulwin,2006-10-24,2946
202,26,Allen Lane,1979-06-01,7702
203,26,Allen Lane,2005-06-28,2787
204,27,Allworth,1999-12-01,7969
205,28,Alpha,1997-12-01,9149
206,28,Alpha,2006-06-27,3427
207,29,Amadeus,2006-06-01,685
208,30,Amereon Limited,1976-06-01,5355
209,31,America'S Test Kitchen,2005-11-15,8365
210,31,America'S Test Kitchen,2006-09-01,1792
211,32,American Diabetes Association,2006-10-15,1898
212,33,Amistad,2006-01-10,2114
213,33,Amistad,2006-08-29,3213
214,33,Amistad,2006-10-10,2410
215,33,Amistad,2019-03-05,10828
216,33,Amistad,2002-10-01,9639
217,33,Amistad,1996-01-05,9570
218,33,Amistad,1990-01-22,9569
219,33,Amistad,2006-05-30,9432
220,33,Amistad,2006-08-29,40
221,33,Amistad,2006-10-24,2944
222,34,Amr/Advanced Management Reports,1985-12-01,10922
223,35,Anagrama,2001-06-01,521
224,35,Anagrama,2008-03-01,524
225,35,Anagrama,2016-06-30,3009
226,35,Anagrama,2013-10-31,9688
227,35,Anagrama,1995-07-01,9789
228,35,Anagrama,2005-07-01,525
229,35,Anagrama,2009-07-15,522
230,36,Anchor,2006-03-28,311
231,36,Anchor,2005-03-08,3438
232,36,Anchor,2005-05-10,1100
233,36,Anchor,1998-01-20,4889
234,36,Anchor,2003-12-02,10181
235,36,Anchor,1998-12-01,10164
236,36,Anchor,1998-09-08,9624
237,36,Anchor,1988-06-01,9131
238,36,Anchor,2001-01-16,9077
239,36,Anchor,2006-02-14,8661
240,36,Anchor,2006-06-06,8561
241,36,Anchor,2001-08-21,8450
242,36,Anchor,2006-11-14,8447
243,36,Anchor,2005-04-19,8342
244,36,Anchor,2002-06-11,8341
245,36,Anchor,2002-09-24,8014
246,36,Anchor,1993-01-01,7663
247,36,Anchor,2002-11-12,4769
248,36,Anchor,1974-03-05,7613
249,36,Anchor,2005-05-10,7161
250,36,Anchor,1990-05-07,849
251,36,Anchor,2005-02-22,7126
252,36,Anchor,2004-07-27,7106
253,36,Anchor,2006-11-14,6748
254,36,Anchor,2005-01-04,6490
255,36,Anchor,2006-01-24,6227
256,36,Anchor,2002-02-19,6132
257,36,Anchor,1996-01-01,6000
258,36,Anchor,2006-04-11,5928
259,36,Anchor,2004-09-14,5924
260,36,Anchor,1998-11-10,5570
261,36,Anchor,2006-02-14,5319
262,36,Anchor,2000-08-29,4978
263,36,Anchor,2007-03-13,7310
264,36,Anchor,1971-07-06,4677
265,36,Anchor,1997-01-15,7160
266,36,Anchor,2002-09-17,4498
267,36,Anchor,2006-03-28,1230
268,36,Anchor,2006-04-11,1444
269,36,Anchor,2002-05-14,4512
270,36,Anchor,2010-10-05,1459
271,36,Anchor,1996-10-18,1595
272,36,Anchor,2000-04-04,1596
273,36,Anchor,2000-06-06,1600
274,36,Anchor,1993-12-01,1645
275,36,Anchor,1999-11-02,1916
276,36,Anchor,1999-11-02,1918
277,36,Anchor,1998-12-29,1920
278,36,Anchor,1994-11-01,1921
279,36,Anchor,2006-03-14,1958
280,36,Anchor,2002-11-12,1959
281,36,Anchor,1999-08-17,2195
282,36,Anchor,2004-04-13,1713
283,36,Anchor,2000-02-15,2939
284,36,Anchor,2003-03-11,3131
285,36,Anchor,2000-10-17,3171
286,36,Anchor,1998-05-11,3175
287,36,Anchor,2006-07-11,3244
288,36,Anchor,2001-01-16,4011
289,36,Anchor,2004-12-28,4426
290,36,Anchor,2005-09-13,4030
291,36,Anchor,1991-12-01,4217
292,36,Anchor,2005-07-12,4425
293,36,Anchor,1976-06-16,4314
294,36,Anchor,1983-10-11,4315
295,36,Anchor,1975-05-20,2508
296,36,Anchor,2005-07-12,4479
297,37,Anchor Books,2006-09-12,2472
298,37,Anchor Books,2006-12-26,2663
299,37,Anchor Books,2006-11-14,2654
300,37,Anchor Books,2005-11-08,3128
301,37,Anchor Books,2001-11-06,3398
302,37,Anchor Books,1993-12-27,2650
303,37,Anchor Books,1989-09-20,2000
304,37,Anchor Books,1994-01-01,1597
305,37,Anchor Books,2007-06-29,1924
306,37,Anchor Books,1997-09-17,1599
307,37,Anchor Books,1991-12-01,1598
308,37,Anchor Books,1999-12-03,1502
309,37,Anchor Books,1989-12-01,1493
310,37,Anchor Books,2006-05-30,1476
